Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5vuHXi2CHk6XMNkgSDB55Z,"Sane","Sane","Fade Black;Leo Law",2019-10-02,286046,27,false,,2024-01-12T13:01:37Z,"drum and bass,liquid funk","Critical Music",0.542,0.906,1,-2.83,1,0.129,0.0012,0.0849,0.138,0.0678,172.075,4
spotify:track:3pUbH5GKzywgCSXjBTWaZV,"Blood & Gold","Blood & Gold","Bastion;Fade Black;Leo Law",2023-06-27,204244,16,false,,2024-01-12T13:01:15Z,"drum and bass,liquid funk","Pilot.",0.496,0.884,0,-2.532,1,0.087,0.0416,0.000235,0.0651,0.0396,114.661,5
spotify:track:6Q2tJt4oYeC6bbytXc5Z0R,"Out Of My Head","Odyssey","1991;Cherryade",2022-07-22,240676,43,false,,2024-01-12T13:00:30Z,"drum and bass,liquid funk","1991",0.473,0.947,5,-4.849,1,0.0772,0.00623,0.788,0.258,0.331,173.998,4
spotify:track:4mXu9c2eT5wqUCqMBUcutM,"On Fire","The Wise and The Wicked","Jauz;HYPRESSION",2018-08-31,333000,0,false,,2024-01-07T13:58:43Z,"bass house,edm,future house,dubstep,electro house,g-house","Bite This!",0.682,0.845,7,-5.268,1,0.0577,0.0395,0.0167,0.0973,0.133,126.041,4
spotify:track:5cDNzcok72q3HC0Lw6FyAR,"The Beach (Instrumental)","The Beach (Instrumental)","mxpheebz",2022-09-15,230038,61,false,,2024-01-04T16:32:35Z,"","THE SOURCE",0.672,0.215,2,-17.352,0,0.0353,0.834,0.921,0.0915,0.137,136.001,4
spotify:track:1Knvb7qxFMG2vuPdvBU9Vl,"The Beach (Instrumental Slowed + Reverb)","The Beach (Instrumental Slowed + Reverb)","mxpheebz",2022-09-15,267459,60,false,,2024-01-04T16:32:20Z,"","THE SOURCE",0.698,0.13,8,-19.26,1,0.0371,0.878,0.895,0.0855,0.0743,121.159,4
spotify:track:7LSg7qrUGRNxSsJ8GlIkg4,"Before We Go Down","Before We Go Down","DNMO;The Arcturians",2022-07-20,237813,29,false,,2024-01-04T12:55:04Z,"drum and bass,dubstep,deathstep","Deadbeats",0.507,0.767,4,-4.349,0,0.048,0.00196,0.124,0.2,0.0378,174.031,4
spotify:track:1LIvdWNdKmHvU0FJvw2diN,"Big City Life","Big City Life","Luude;Mattafix",2022-06-16,146711,67,false,,2024-01-03T15:53:54Z,"drum and bass","Warner Records",0.615,0.902,3,-4.316,1,0.0859,0.0176,0.0000391,0.103,0.298,87.03,4
spotify:track:53O5nAlq04RKmSBqW0SFvG,"Down Under (feat. Colin Hay)","Down Under (feat. Colin Hay)","Luude;Colin Hay",2022-02-01,158774,62,false,,2024-01-03T15:50:49Z,"drum and bass","Warner Records",0.308,0.86,11,-4.111,0,0.168,0.0116,0.000828,0.277,0.0387,171.835,4
spotify:track:2wGZW6hHwOJjPZzxfyd9Kp,"GTFO","GTFO","VESSEL;SenpaiBXC",2023-12-29,124959,10,true,,2024-01-03T15:48:20Z,"trap metal,rage rap","Independent T",0.741,0.906,1,-1.513,1,0.231,0.0109,0.000298,0.0862,0.376,169.952,4
